Timestamp start: 1747241808651
Random waveform, random seed
Total number of intervals = 96 (122635, 82746, 106244, 57271, 14450, 110250, 7663, 137998, 152289, 56207, 149809, 28872, 113034, 64320, 170396, 43849, 11298, 156875, 129235, 50243, 15118, 141253, 74905, 103597, 12721, 93538, 178698, 99613, 75295, 9164, 177479, 94367, 106166, 137980, 21753, 175518, 30864, 166639, 81086, 29961, 53853, 137971, 52788, 94480, 83744, 70392, 29391, 86678, 45490, 105447, 129370, 40392, 7201, 82199, 13397, 84434, 121388, 121876, 95006, 7641, 120479, 72582, 79773, 9727, 175493, 139078, 97364, 79125, 155913, 65966, 17402, 18802, 94330, 19244, 12666, 46768, 66448, 63788, 162581, 135736, 111176, 157667, 144721, 83382, 114510, 20870, 35971, 82552, 172120, 139272, 33514, 92396, 56394, 143943, 137155, 159972)
Average QPS expected = 87223
Timestamp start: 1747241810158
Timestamp end: 1747242770397

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.5    79.5    59.1   118.3   131.4   237.4   267.6   281.6   290.9   301.4   315.0   335.8   379.6   491.6  1961.5  33496.9    33514
read      217.4   105.1    63.8   107.5   117.3   196.6   255.5   283.6   301.1   319.0   340.6   371.7   435.3   564.8  3169.1  92581.8    92396
read      232.3    98.2    59.1   111.6   123.0   230.0   277.6   296.8   309.9   323.6   341.8   370.9   446.2   865.7  1808.3  56229.2    56394
read      230.0    99.8    63.8   119.2   132.6   210.5   256.1   283.5   302.9   325.0   352.6   393.8   483.7   779.3  2639.8 143875.5   143943
read      222.7    92.5    59.1   115.8   128.6   202.0   248.5   276.1   296.0   318.3   344.9   384.5   464.8   690.4  1815.5 137077.9   137155
read      248.6   107.3    68.9   129.5   145.0   231.3   275.4   301.1   319.4   341.9   370.9   416.6   527.0   915.6  2563.1 160139.8   159972

Total QPS = 87210.2 (83721792 / 960.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 20679282871 bytes :   20.5 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.86%,32.32%,100.00%
Timestamp end: 1747242772081
