Timestamp start: 1747334859512
Random waveform, supplied seed
Total number of intervals = 192 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136)
Average QPS expected = 88139
Timestamp start: 1747334861017
Timestamp end: 1747335821277

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      208.9   108.6    68.9   102.7   112.2   187.4   239.1   267.1   286.0   306.8   331.9   367.9   444.8   714.1  3312.0  88592.6    88725
read      208.8   123.8    63.8   106.8   117.4   186.2   227.0   251.9   270.6   292.5   319.6   361.4   460.6  1581.7  3549.4 134116.4   134088
read      215.4    94.0    63.8   103.6   113.0   202.5   251.6   275.6   292.1   311.2   335.3   371.8   459.6   666.8  1229.3  66276.2    66126
read      211.9   111.9    63.8   103.2   112.6   193.1   244.6   270.4   287.9   307.3   330.8   366.1   449.4  1030.7  3183.0  78268.2    78214
read      212.6    90.8    63.8   102.1   112.0   205.5   249.8   271.3   286.0   302.3   321.7   353.5   420.0   543.2  1421.4  55117.6    55191
read      215.9    97.9    68.9   104.2   113.9   209.0   250.9   271.4   285.8   302.1   322.3   356.1   434.1  1098.4  2310.4  54228.8    54081
read      206.2   108.6    68.9   103.2   113.0   182.4   227.5   254.8   274.3   296.8   324.3   365.9   471.9  1139.6  2970.6 112401.2   112478
read      275.2   137.9    68.9   136.4   154.2   251.3   306.0   339.5   364.0   391.6   425.1   472.4   581.5  1159.5  3291.4 179663.8   179666
read      199.6    86.0    63.8   100.7   110.0   179.4   226.7   253.0   270.9   291.2   315.9   353.3   432.6   621.3  1125.1 100390.6   100584
read      205.9   127.8    59.1   103.3   113.4   180.8   223.1   249.2   268.2   290.2   317.2   361.0   515.8  1522.5  4206.2 128034.4   127920
read      181.1    91.4    63.8   102.5   115.9   178.4   193.8   202.1   209.5   217.0   229.3   251.4   336.7  1084.3  3208.7   6588.6     6594
read      204.0    80.6    68.9   109.8   122.2   201.0   225.2   238.1   248.8   261.4   277.4   306.4   374.1  1001.6  2352.8  25042.2    25020
read      217.3   143.5    68.9   105.1   115.6   184.8   228.1   255.4   276.2   301.6   335.7   400.6   734.6  1787.5  3308.1 129779.4   129587
read      201.0   129.8    54.7   114.8   130.8   193.1   212.8   224.4   232.6   244.5   261.2   290.7   383.9  1348.4  7463.0  10262.4    10277
read      207.4   112.3    68.9   108.8   119.6   185.5   223.9   248.1   266.4   288.1   315.3   358.5   491.7  1277.4  2621.5 148401.4   148458
read      217.3   101.7    63.8   102.6   112.1   203.7   251.1   274.8   291.9   312.0   337.9   379.1   477.2   940.4  1870.8  66339.4    66114
read      225.2   100.9    59.1   103.0   113.3   214.0   259.8   284.8   302.2   321.4   346.1   384.7   469.9  1044.5  1561.0  49331.4    49261
